ActionGeo_Lat,ActionGeo_Long,polriskevents
34.8226,45.3449,4
34.8881,44.6326,26
34.9,45.1,5
34.9104,45.1982,0
34.913,45.5905,1
34.9191,45.6197,1
34.923,42.9168,1
34.9231,43.1175,0
34.9301,43.5047,34
34.9307,43.4931,54
34.9362,45.4428,4
34.9374,44.7399,1
34.9432,45.7105,0
34.959,43.5343,0
34.9794,43.3547,1
34.9914,43.4854,1
35.016,45.3919,0
35.0778,43.6658,2
35.1121,45.6866,0
35.128,43.3392,3
35.1313,45.8836,1
35.1355,41.3759,0
35.1392,44.4491,13
35.1396,45.4313,0
35.1425,45.9282,2
35.1562,45.8786,4
35.1608,46.1139,16
35.1667,42,3
35.1757,43.4896,3
35.1788,44.7027,1
35.1802,43.2624,1
35.182,45.9679,85
35.1886,46.0263,1
35.1953,43.3421,4
35.2127,45.6992,0
35.2257,45.3472,19
35.2441,45.3122,0
35.25,44.1667,107
35.25,45.55,0
35.2523,45.5582,10
35.256,44.9752,0
35.2652,45.9742,2
35.2673,44.3061,1
35.2953,42.5419,0
35.2963,44.5889,0
35.3024,44.3264,1
35.3071,45.3906,0
35.312,45.9409,0
35.3122,46.0049,7
35.3132,44.5173,0
35.3152,45.819,0
35.3154,44.5636,10
35.3196,45.9225,2
35.321,44.0533,1
35.3276,45.5863,1
35.3424,44.0069,4
35.3567,45.5503,1
35.3658,44.2033,2
35.3794,45.0503,0
35.3833,44.3,1
35.3847,44.7655,0
35.3854,44.0871,0
35.3926,44.3834,11
35.3996,43.7883,4
35.4024,44.0314,6
35.4038,45.684,0
35.4213,44.023,5
35.4224,45.58,2
35.4278,44.1682,2
35.4311,45.8036,0
35.4315,44.3722,49
35.4321,43.7799,0
35.4478,44.5759,3
35.45,45,2
35.4519,44.3823,14
35.4681,44.3922,1201
35.4697,45.9333,0
35.486,43.2408,11
35.4882,42.8901,0
35.4969,44.395,2
35.4983,42.7337,0
35.5,42,98
35.502,43.91,1
35.5095,43.8144,1
35.5292,43.22,26
35.5296,43.8406,35
35.5347,44.3506,0
35.537,43.2247,1
35.5371,45.9876,0
35.565,45.4329,146
35.5704,43.444,3
35.5729,42.7339,160
35.578,45.9203,1
35.5781,45.3365,0
35.5833,43.8833,1
35.6364,45.7747,0
35.6448,43.5441,0
35.6504,45.084,0
35.6513,44.2581,0
35.6554,43.397,3
35.6667,45.5,7
35.6803,44.5961,3
35.6814,45.9593,17
35.6833,41.5,2
35.6903,43.5455,5
35.7052,43.8993,0
35.7103,44.2733,0
35.7156,46.0631,0
35.7299,42.2539,0
35.7316,43.5408,0
35.7403,43.309,0
35.76,45.8271,1
35.7762,43.5797,11
35.7879,44.1179,3
35.7885,42.0522,0
35.7926,45.3882,5
35.7963,44.1211,0
35.7988,43.2953,216
35.8,43.2833,36
35.825,44.0742,5
35.8279,45.296,0
35.8333,43.4361,2
35.8373,41.8308,1
35.8417,44.379,0
35.8663,43.3003,0
35.8686,42.0166,0
35.9,45.0452,4
35.911,42.9834,0
35.9116,42.3087,2
35.9165,43.5743,2
35.9166,43.7487,0
35.9283,43.7368,2
35.9292,44.9628,3
35.9293,45.4535,1
35.9318,45.616,1
35.9341,43.2698,0
35.954,44.9531,0
35.9667,43.3,5
35.9725,43.8536,7
35.9747,42.1839,9
35.9792,42.5735,2
35.9842,43.6555,0
35.9854,45.5547,0
35.9906,43.3442,2
35.9927,43.2206,3
35.9937,43.4506,1
36.004,44.7536,0
36.0056,44.0081,0
36.0118,42.1613,0
36.0253,43.4075,0
36.0265,45.1602,0
36.0341,44.899,0
36.0342,42.3279,2
36.0344,43.4357,0
36.0382,45.1393,6
36.0426,41.7163,230
36.0539,41.856,26
36.0574,43.474,0
36.0694,42.6891,0
36.0845,44.6286,1
36.0962,43.3293,65
36.1167,44.95,1
36.1199,43.9206,1
36.1214,41.3507,0
36.1408,43.4078,3
36.1445,43.3111,0
36.1504,45.1219,1
36.1508,41.849,1
36.1642,43.2597,352
36.1667,44,5
36.1667,42.5833,663
36.1813,45.1287,0
36.1872,43.2087,30
36.1926,44.0106,933
36.1939,44.6886,1
36.2125,41.5705,0
36.2146,43.0412,0
36.2255,44.9819,8
36.2282,43.1053,0
36.2295,45.2008,0
36.235,42.8999,3
36.2512,45.007,1
36.2559,44.8817,1
36.2597,42.0218,19
36.2606,42.0978,5
36.266,41.9535,0
36.2709,43.3776,96
36.2727,43.6339,1
36.2731,43.1621,6
36.2767,42.8808,0
36.2784,43.6707,0
36.2787,44.493,1
36.2815,41.723,1
36.2862,43.7839,257
36.3003,44.1386,0
36.3142,44.5312,0
36.3201,43.5298,0
36.3256,43.1242,7
36.3309,42.8482,1
36.3316,43.0676,0
